text,top_class,hate_speech,offensive_language,neither
Yssir,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Charlie's rebranding the Lupo brand.,neither,0.0027530378373133244,0.011867527806255768,0.9853794343564309
Lupos Live Lupos Live Lupos Live! @DrLupo I've missed you!,neither,0.03830730307482876,0.3400669224880631,0.6216257744371081
lupoK lupoK lupoK lupoK lupoK lupoK lupoK,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
WE WANT TO KNOWWWWWWW,neither,0.052388388064914235,0.3207388855375137,0.6268727263975721
yeah it's quiet,neither,0.021332034424906082,0.45119618530234873,0.5274717802727452
Antici-----,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yes Dr.Lupo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
it's super quiet ye,neither,0.0382754389973659,0.3307811769880152,0.6309433840146188
yes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
cant here crab rave,neither,0.0734047245849329,0.3017122254211487,0.6248830499939184
All good,offensive_language,0.042287141387680284,0.4966367058223186,0.461076152790001
yeah,offensive_language,0.013968601452186464,0.5182923869769311,0.4677390115708824
ITS GOOD,neither,0.028901295535216566,0.334005374781645,0.6370933296831385
YES,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
good,neither,0.037820165765928906,0.33093776632913474,0.6312420679049364
it is,neither,0.059603583318096655,0.32344545014120724,0.616950966540696
THE ANTICI........................PATION,neither,0.03613032604487659,0.2619290779399786,0.7019405960151449
yeah,offensive_language,0.013968601452186464,0.5182923869769311,0.4677390115708824
yes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
So adorable and yes,neither,0.03845446203484501,0.33295045162026365,0.6285950863448915
yes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
quiet rave,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
can't hear it at all :),neither,0.039282694363607554,0.4483031179461078,0.5124141876902847
colur oml hes so cute,neither,0.0411741197196414,0.34264404160391954,0.6161818386764392
TELL USS CHARLIEEEEE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Oh my the suspense.,neither,0.02688391423617098,0.36375215661936827,0.6093639291444608
charlie is adorable,neither,0.003709152379991613,0.013406206729034784,0.9828846408909737
my face is MELTING smiling so much,neither,0.032031626999800174,0.4458521115699879,0.5221162614302118
lupoHYPE lupoHYPE lupoHYPE lupoHYPE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
oh yes i can,neither,0.0469692880669543,0.2571936185268909,0.6958370934061547
Love it,neither,0.030831260484157012,0.3601344986151421,0.609034240900701
lupoSPOOK lupoSPOOK lupoSPOOK lupoSPOOK lupoSPOOK lupoSPOOK,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
This is great. Yes it sounds good.,neither,0.04266797311871536,0.3076572264875399,0.6496748003937447
Who isssss ittttt?,neither,0.0401687548053114,0.4035523871359183,0.5562788580587704
lupoNICE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
