text,top_class,hate_speech,offensive_language,neither
"@debbers500 Awesome, looking forward to it!",neither,0.04397803338523641,0.32737768841006765,0.6286442782046959
Next week.,neither,0.03841867567785115,0.34793480899304824,0.6136465153291008
awesome sauce:),neither,0.03945320844208391,0.33037608806864915,0.630170703489267
oh well.. just waiting for prime sub to drop to hop over to critrole Kappa,neither,0.04978221317186005,0.2943331868475794,0.6558845999805606
thanks debbers500 danLove,neither,0.035884468650613,0.3004919205142699,0.6636236108351171
Thanks @debbers500 awesome dynamics,neither,0.03702831964595965,0.31007038148356736,0.652901298870473
why is it never some friendly entity that wants to live peacefully under the sea?,neither,0.031948866441360524,0.38282898069909854,0.585222152859541
pretty crazy to just end a stream with 8k people,neither,0.040609764728208465,0.44205653980480947,0.5173336954669819
"lol....reading the chat rules....i read #1 as ""don't be a DUCK!""",neither,0.03329632432009692,0.3760289839245166,0.5906746917553866
@debbers500 Thank you again for hanging out. Much appreciated!,neither,0.037136842440636794,0.3758954478331596,0.5869677097262036
Thanks @TheDiMono and all you lovely G&S folk and fans!,neither,0.056687214356803434,0.3312830536981839,0.6120297319450128
"@debbers500 You are so creative and descriptive, I love it. See you next week!",neither,0.08525416241728577,0.3865700580235917,0.5281757795591225
that was really good cant wait!,neither,0.035035308806284,0.37305571094876167,0.5919089802449543
fast pace eh?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
same day/time next week?,neither,0.03890897218422441,0.35504005985362364,0.6060509679621521
Thanks @debbers500,neither,0.035884468650613,0.3004919205142699,0.6636236108351171
see yall next week,neither,0.03716718202455597,0.36917592242763675,0.5936568955478072
Thanks for being awesome @debbers500,neither,0.028317848943576834,0.3149177724732677,0.6567643785831554
its really cool that you even bother to hang out in char with us stream plebs @debbers500 the show is awesome,neither,0.06511035275796365,0.35436033420503776,0.5805293130369986
Each episode is split into 2 1hour parts,neither,0.044879918408662796,0.3285095936660874,0.6266104879252498
Relics and Rarities is worth a prime sub for sure,neither,0.0358331193679212,0.3751955781126618,0.588971302519417
Thanks for hanging out with us @debbers500 !,neither,0.04421305851152123,0.33318983807928954,0.6225971034091893
@imLunchy Yes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@debbers500 thank you for the great show danLove,neither,0.06145004147390697,0.22945012773308898,0.7090998307930041
@debbers500 That was great! :D,neither,0.031738606339660885,0.35644657876003094,0.6118148149003082
"Help G&S make great content! $4.99/month gets you emotes, Minecraft server access, sub-only VODs, and more! Every sub keeps the channel alive! twitch.tv/geekandsundry/subscribe",neither,0.043907990691603095,0.31135964332838284,0.644732365980014
How does he see what he rolls on his dice?,neither,0.052105832760928776,0.4190399782952969,0.5288541889437743
hello danWave oooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Gina GM!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
thank you @debbers500 you game me something i didn't even know I wanted but it's so great,neither,0.03606105212717762,0.4475304999988213,0.516408447874001
Gina GM!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"piboRant weave time, everyone get you're home baskets out",neither,0.05585790307090814,0.46145263348677373,0.4826894634423181
gandsHype gandsHype gandsHype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
gandsFacepalm gandsFacepalm gandsFacepalm gandsFacepalm gandsFacepalm,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
You all are so cool! thanks for being polite and supportive. It means so much to me. Enjoy TBD RPG!!!,neither,0.04763208168527001,0.3934419588601452,0.5589259594545848
Thanks for being here @debbers500 !!,neither,0.07192670121817475,0.27480476165024703,0.6532685371315783
thank you deb! a great addition to g&s,neither,0.054028323226460485,0.34242150934774074,0.6035501674257988
I really want to get myself one of those wooden DM screens...,neither,0.06116165404886313,0.30287197662922655,0.6359663693219103
ASH!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"@debbers500 You're a great DM, you make me want to try D&D, thanks so much for that",neither,0.057711560408720934,0.3896463416589995,0.5526420979322796
woo!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
bye deb!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@imLunchy Yup. Reruns in a couple hours and later in the week.,neither,0.03836786448186208,0.29328064513485763,0.6683514903832803
Change of plans,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yeah Ash back,neither,0.024464562987525734,0.43380620469002407,0.5417292323224502
what happened to the session?,neither,0.05027405155295973,0.30861979282918983,0.6411061556178503
"Hi Ash, Becca, Gina, Amy and Stef",neither,0.03883641976893862,0.29987666403515967,0.6612869161959017
Right when the ocean battle was getting good..,neither,0.028344078986418397,0.41560911813968693,0.5560468028738947
danLUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
this looks like a sliiiight step down,neither,0.05053508201548452,0.3482269047805506,0.6012380132039647
damn you Fiona!,offensive_language,0.07364223488149953,0.9231738158972554,0.0031839492212450463
Oh. Becca's gone 700% method. Should go well.,neither,0.05281706743785884,0.32428827075620875,0.6228946618059324
that was unreal DM'ing @debbers500 so glad i found this,neither,0.03682065325710612,0.38709981207807403,0.5760795346648198
holy shit Becca looks like a boy,offensive_language,0.055513766729151565,0.9428541363959697,0.0016320968748786307
@rensler88 tune in next Wednesday for part 2,neither,0.034651931508609145,0.3177779800823169,0.647570088409074
@debbers500 i want you back on critical role as trixie!!!! you dragon slayer sob!!!!!!!!!,neither,0.054664151770994845,0.40785148978066876,0.5374843584483363
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
where can I watch previous episodes,neither,0.04715059320030561,0.2934090155253153,0.6594403912743791
danLUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LUL good question,neither,0.038879600139081275,0.33057337826720606,0.6305470215937126
A womb with a view,neither,0.025973088388790776,0.37900741308531627,0.595019498525893
@Rensler88 1 and the first half of 2 are on YouTube. VODs are up for subs as well,neither,0.0525251762409908,0.2858422946064811,0.661632529152528
watching this makes me want to play dnd againnnn,neither,0.03848258501089142,0.3547417276594985,0.6067756873296101
When was the previous episode of this?,neither,0.028542555754947158,0.3678181939309197,0.6036392503141332
chad swanson,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@Rensler88 should be able to click the videos tab,neither,0.05172186121244501,0.34101215206678975,0.6072659867207651
amydCheers,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
kk ty,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"""this time"" danS",neither,0.03816989971820941,0.35215718628168685,0.6096729140001038
is it a monthly sub or one time sub?,neither,0.04187633929880529,0.3583511132965597,0.5997725474046349
Chat it's swanson,neither,0.03752336384949593,0.3310398501182267,0.6314367860322773
"@Blizardstar1200 They're done this setting before, but this story arc is new.",neither,0.05184369026592564,0.31248629568940695,0.6356700140446674
@Rensler88 Monthly,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
wow that's a convoluted prank Portia,neither,0.036559031764762086,0.36171129944370056,0.6017296687915374
!whodat,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"Gina DeVivo ( Twitter.com/pocketgina ) as the Story Teller, with Whitney Moore ( twitter.com/tweetneymoore ), Amy Dallen ( twitter.com/enthusiamy ) Becca Scott ( twitter.com/thebeccascott ), and Stef Woodburn ( twitter.com/StefWoodburn ).",neither,0.03510077889429535,0.4640498374380524,0.5008493836676523
ugh okie doke,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
We need more dragon slayers on CR season 2. Those poor Vox Machina don’t have much experience at it. Kappa,neither,0.04608738241245156,0.31303971886079857,0.6408728987267499
wait the other one wasnt done,neither,0.037343126984387624,0.3536488286572716,0.6090080443583408
skyrim guards approaching,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ramaPANIC ramaPANIC ramaPANIC CHEESE IT,neither,0.03732900470022614,0.3311066991421165,0.6315642961576573
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
is there more dnd to be streamed?,neither,0.0567370489023182,0.27990623998260866,0.6633567111150731
Errrr mighty nein... lol whoops,neither,0.032992959634341804,0.3764807349593735,0.5905263054062847
Missing Ash Minnick,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"Umm, no Whitney Moore tonight",neither,0.036683623607250894,0.3233510037816197,0.6399653726111294
@Idifee Yep. I don't know if it's just for this week.,neither,0.01908367108266817,0.3669247279156875,0.6139916010016444
or do I have to sub to watch?,neither,0.06007294916109743,0.32815663319538185,0.6117704176435207
@rensler88 yes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@Rensler88 The VODs are for subscribers only.,neither,0.0689699959943696,0.20300164865343634,0.7280283553521941
ugh,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@Rensler88 part 2 of R&R will be on next week,neither,0.03789369662462853,0.33579287586981,0.6263134275055615
Gina is putting herself back to GMing in High School. That's rough.,neither,0.043964288678647864,0.4065065887626943,0.5495291225586578
@Rensler88 Live streams are all free. Reruns afterwards and on weekends are free.,neither,0.06950457436080465,0.30089517673044525,0.6296002489087502
jail trouble,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@KBTibbs This is how she plans on getting that Highschool experience,neither,0.03786636680132975,0.4618969096100583,0.500236723588612
